Timestamp,Username,Event,Details
2026-09-06 23:32:15,Riya,Face Absent,No face detected
2026-09-06 23:32:24,Riya,Face Absent,No face detected
2026-09-06 23:32:25,Riya,Face Absent,No face detected
2026-09-06 23:32:52,Riya,Face Absent,No face detected
2026-09-06 23:33:03,Riya,Face Absent,No face detected
2026-09-06 23:33:09,Riya,Face Absent,No face detected
2026-09-06 23:33:16,Riya,Face Absent,No face detected
2026-09-06 23:37:53,Riya,Tab Switched,Browser Activity
2026-09-06 23:38:40,Riya,Tab Switched,Browser Activity
2026-09-06 23:38:40,Riya,Tab Switched,Browser Activity
2026-09-06 23:38:40,Riya,Tab Switched,Browser Activity
2026-09-06 23:39:37,Riya,Tab Switched,Browser Activity
2026-09-06 23:39:47,Riya,Tab Switched,Browser Activity
2026-09-06 23:40:06,Riya,Tab Switched,Browser Activity
2026-09-06 23:40:12,Riya,Tab Switched,Browser Activity
2026-09-06 23:40:12,Riya,Tab Switched,Browser Activity
2026-09-06 23:44:15,Riya,Tab Switched,Browser Activity
2026-09-06 23:44:17,Riya,Tab Switched,Browser Activity
2026-09-06 23:47:22,Riya,Tab Switched,Browser Activity
2026-09-06 23:47:26,Riya,Tab Switched,Browser Activity
2026-09-08 15:35:15,Kishan,Tab Switched,Browser Activity
2026-09-08 15:35:15,Kishan,Tab Switched,Browser Activity
2026-09-08 15:37:04,Kishan,Tab Switched,Browser Activity
2026-09-08 15:38:36,Gina,Tab Switched,Browser Activity
2026-09-08 15:38:44,Gina,Tab Switched,Browser Activity
2026-09-08 15:38:46,Gina,Tab Switched,Browser Activity
2026-09-08 16:14:05,Raju,Tab Switched,Browser Activity
2026-09-08 16:14:12,Raju,Tab Switched,Browser Activity
2026-09-08 16:14:17,Raju,Tab Switched,Browser Activity
2026-09-08 16:14:20,Raju,Tab Switched,Browser Activity
2026-09-08 16:14:28,Raju,Tab Switched,Browser Activity
2026-09-08 16:14:43,Raju,Tab Switched,Browser Activity
2026-09-08 16:14:50,Raju,Tab Switched,Browser Activity
2026-09-08 16:14:56,Raju,Tab Switched,Browser Activity
2026-09-08 16:15:13,Raju,Tab Switched,Browser Activity
2026-09-08 16:22:16,Raju,Tab Switched,Browser Activity
2026-09-08 16:34:18,Hira,Face Absent,No face detected
2026-09-08 16:34:55,Hira,Tab Switched,Browser Activity
2026-09-08 16:52:29,Hira,Tab Switched,Browser Activity
2026-09-08 17:01:05,Tina,Tab Switched,Browser Activity
2026-09-08 17:01:15,Tina,Tab Switched,Browser Activity
2026-09-08 17:37:22,Gia,Tab Switched,Browser Activity
2026-09-08 17:37:35,Gia,Tab Switched,Browser Activity
2026-09-09 18:07:47,Nita,Tab Switched,Browser Activity
2026-09-09 18:07:50,Nita,Tab Switched,Browser Activity
2026-09-09 18:16:31,Nita,Face Absent,No face detected
2026-09-09 18:16:40,Nita,Tab Switched,Browser Activity
2026-09-09 18:16:42,Nita,Face Present,Student returned after 12.7 seconds
2026-09-09 18:27:29,Priyanka,Tab Switched,Browser Activity
2026-09-09 18:27:31,Priyanka,Tab Switched,Browser Activity
